Player,Hall_Fame_Induction_Year,ERA,All_Star_Appearances
keefeti01,1964,2.8579999923706056,15
keefeti01,1964,2.8579999923706056,15
becklja01,1971,6.75,22
becklja01,1971,6.75,22
martipe02,2015,2.9983333547910056,18
koufasa01,1972,3.141666680574417,12
koufasa01,1972,3.141666680574417,12
ewingbu01,1939,4.2083333532015486,18
gossari01,2008,3.199999990670577,23
gossari01,2008,3.199999990670577,23
wardjo01,1964,2.318571465356009,17
wardjo01,1964,2.318571465356009,17
hubbeca01,1947,3.1362499818205833,16
sislege01,1939,1.189999989100865,16
sislege01,1939,1.189999989100865,16
walshed01,1946,2.117857141154153,14
deandi01,1953,3.9366666674613953,12
deandi01,1953,3.9366666674613953,12
spahnwa01,1973,3.2777272679589013,22
spahnwa01,1973,3.2777272679589013,22
bendech01,1953,3.4443749859929085,16
bendech01,1953,3.4443749859929085,16
wilheho01,1985,3.253076915557568,26
wilheho01,1985,3.253076915557568,26
blylebe01,2011,3.4541666507720947,24
blylebe01,2011,3.4541666507720947,24
wallabo01,1953,3.1550000309944153,25
wallabo01,1953,3.1550000309944153,25
ruffire01,1967,4.017826101054316,23
ruffire01,1967,4.017826101054316,23
mathech01,1936,2.6488888594839306,18
mathech01,1936,2.6488888594839306,18
spaldal01,1939,2.3842856884002686,8
spaldal01,1939,2.3842856884002686,8
suttodo01,1998,3.3091999816894533,25
suttodo01,1998,3.3091999816894533,25
planked01,1946,2.3411764537586883,17
planked01,1946,2.3411764537586883,17
maricju01,1983,3.713125005364418,16
maricju01,1983,3.713125005364418,16
paigesa01,1971,2.818333307902018,6
paigesa01,1971,2.818333307902018,6
kellyki01,1945,3.3114285469055176,18
kellyki01,1945,3.3114285469055176,18
galvipu01,1965,3.001764746273265,17
galvipu01,1965,3.001764746273265,17
fellebo01,1962,3.3822221888436212,18
fellebo01,1962,3.3822221888436212,18
hunteca01,1987,3.4759999752044677,15
hunteca01,1987,3.4759999752044677,15
nichoki01,1949,3.4706249982118607,16
nichoki01,1949,3.4706249982118607,16
youngcy01,1937,2.7139130416123765,23
youngcy01,1937,2.7139130416123765,23
ricesa01,1963,2.475000023841858,20
foxxji01,1951,0.7950000166893005,21
foxxji01,1951,0.7950000166893005,21
marquru01,1971,3.3931578899684705,19
marquru01,1971,3.3931578899684705,19
